"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","107,319.91","106,989.22","107,612.51","106,908.15","3.28M","0.31%"
"10/30/2025","106,989.61","107,141.66","107,403.82","106,620.80","2.74M","-0.14%"
"10/29/2025","107,141.14","106,293.68","107,221.61","106,283.31","3.31M","0.80%"
"10/28/2025","106,293.74","105,316.84","106,733.69","105,065.30","2.92M","0.93%"
"10/27/2025","105,317.01","104,184.74","105,518.05","104,145.58","3.03M","1.09%"
"10/22/2025","104,182.83","103,423.82","104,401.95","103,256.06","2.37M","0.73%"
"10/21/2025","103,424.15","103,790.32","104,184.55","103,248.35","4.80M","-0.35%"
"10/20/2025","103,789.82","102,968.74","103,963.36","102,727.21","3.42M","0.80%"
"10/17/2025","102,968.67","103,067.51","103,161.25","102,098.62","3.36M","-0.09%"
"10/16/2025","103,065.51","102,815.85","103,443.52","102,611.56","2.17M","0.24%"
"10/15/2025","102,816.02","102,388.13","103,505.57","102,325.71","3.64M","0.42%"
"10/14/2025","102,389.83","102,608.04","103,109.64","102,250.06","1.90M","-0.21%"
"10/13/2025","102,607.22","101,990.90","103,031.21","101,725.37","1.89M","0.60%"
"10/10/2025","101,990.76","101,385.60","102,171.74","101,357.80","3.80M","0.60%"
"10/09/2025","101,386.48","101,811.07","101,967.85","101,342.16","2.19M","-0.42%"
"10/08/2025","101,811.05","101,345.59","102,074.51","101,275.79","2.38M","0.46%"
"10/07/2025","101,345.95","99,921.52","101,724.11","99,921.52","1.83M","1.43%"
"10/06/2025","99,921.60","100,462.21","100,910.67","99,910.71","1.70M","-0.54%"
"10/03/2025","100,462.96","99,649.88","100,544.81","99,622.07","1.30M","0.82%"
"10/02/2025","99,650.42","99,157.57","100,135.03","99,132.31","1.42M","0.50%"